grid_id,grid_minx,grid_miny,grid_maxx,grid_maxy,taxon_uuid,物種名,taxon_name_tw,國內紅皮書評估類別,unique_grid_name
2920-06-00-42,120.62,24.2,120.63,24.208333333333,2d15d5ef-4ffe-42c7-b5cd-4650dc57f652,被子植物,三葉埔姜,"易危（VU, Vulnerable）",晶圓十五廠
2720-72-01-12,120.27,23.091666666667,120.28,23.1,aaa14dcf-9cee-449b-890b-1e39a1f6371f,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2920-06-00-31,120.61,24.191666666667,120.62,24.2,cde863d0-a7fe-4e1e-b9be-887d4047e7d0,被子植物,鐵色,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-31,120.61,24.191666666667,120.62,24.2,dddac4db-86cc-4a0e-beeb-19d82da234e4,被子植物,臺灣火刺木,"易危（VU, Vulnerable）",晶圓十五廠
2921-70-00-40,121.0,24.783333333333,121.01,24.791666666667,aaa14dcf-9cee-449b-890b-1e39a1f6371f,鳥類,棕背伯勞,"易危（VU, Vulnerable）",全球研發中心
2920-05-01-44,120.59,24.2,120.6,24.208333333333,aaa14dcf-9cee-449b-890b-1e39a1f6371f,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,3343e3a4-9f28-4f12-81c3-44853ece0b9c,鳥類,黑鳶,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,32c10708-3ffd-4f51-8ac5-ea5d44fa62d0,鳥類,小水鴨,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,8090520b-78f4-4b73-a3cc-177ce26e0b62,鳥類,東方白鸛,"瀕危（EN, Endangered）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,a4c36a54-1c37-402d-93c2-a3f276bf8f4d,兩棲類,史丹吉氏小雨蛙,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,ecc7cbcd-3908-4660-95cd-54177aaf10e8,被子植物,象牙樹,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,25eef22d-2c49-4f8c-ae5a-ce624d34fe1a,被子植物,狗花椒,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,4b94bfc5-86cf-4c04-a358-83da85980619,爬行類,柴棺龜,"極危（CR, Critically Endangered）",晶圓十五廠
2921-70-00-31,121.01,24.775,121.02,24.783333333333,3343e3a4-9f28-4f12-81c3-44853ece0b9c,鳥類,黑鳶,"易危（VU, Vulnerable）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,2d588da1-8d85-437e-86a9-59b06bd78b57,被子植物,田代氏黃芩,"易危（VU, Vulnerable）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,b22a3f02-b125-4287-9501-97eddb6781a1,被子植物,臺灣蒲公英,"瀕危（EN, Endangered）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,fbeae13b-04c2-4263-9b69-dae0205203f1,被子植物,細葉蚊母樹,"易危（VU, Vulnerable）",全球研發中心
2921-70-00-21,121.01,24.766666666667,121.02,24.775,3a7000ea-cb36-4995-8d90-7dcd37c51a34,兩棲類,臺北樹蛙,"易危（VU, Vulnerable）",全球研發中心
2920-06-10-20,120.6,24.225,120.61,24.233333333333,f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",晶圓十五廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,aaa14dcf-9cee-449b-890b-1e39a1f6371f,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,d6d34aa8-6583-4f69-832b-153ef87b9058,鳥類,紅胸濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,32c10708-3ffd-4f51-8ac5-ea5d44fa62d0,鳥類,小水鴨,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,e882d691-d35b-4496-864a-c4aaf861d498,鳥類,黑腹濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,da97cd9a-686f-4f3b-94a9-1623ab914351,鳥類,黃鸝,"易危（VU, Vulnerable）",先進封測二廠
